Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1890,999.9,999.9,999.9,999.9,999.9,15.6,19.3,15.3,8.9,1.4,-15.2,-27.4,999.9
1891,-27.7,-21.7,-9.8,-1.8,8,14.3,19.8,16.4,7.2,-2.8,-18.8,-26.9,-3.7
1892,-31.6,-26.6,-17.3,-1.6,7.7,15.7,17.3,14.9,7.7,-0.8,-15.6,-23.6,-4.5
1893,-32.4,-24.5,-8.1,2.9,7.1,16,18.8,14.5,7.1,0.1,-13.5,-26.4,-3.2
1894,-28,-18.4,-9.8,-0.3,9.8,14.6,18.8,14.8,10.7,0.3,-14.8,-20.1,-1.9
1895,-28,-27.5,-13.3,1,8.4,17,17.2,13.6,8.1,-0.9,-12.3,-21.9,-3.2
1896,-26.4,-24.3,-13.7,-0.1,6.7,16.3,18.5,14.7,8.1,-2,-14.5,-22.4,-3.3
1897,-27.3,-22.3,-13.9,1.3,6.8,16.1,19,16,8.1,-0.9,-13,-25.5,-3
1898,-23,-21.3,-18.8,0.9,6.5,14.6,17.1,16.1,7.3,-0.9,-10.8,-18.4,-2.6
1899,-25.6,-22.2,-10.3,2.3,7.2,14.2,18.7,14.4,8.5,-0.6,-10.4,-24.3,-2.3
1900,-31.3,-18.7,-11.4,-0.7,9.4,15.2,19.3,16.8,10.3,-1.6,-13,-24.5,-2.5
1901,-27.1,-20.7,-9.4,-0.8,8.8,18,19.9,15.8,9.7,-3,-13.7,-31.8,-2.9
1902,-26.9,-18,-10,-2.2,5.6,16.2,18.1,13.3,11.2,-1.1,-17.3,-23.2,-2.9
1903,-26.1,-20.8,-10.7,0.2,8.5,15.7,20.4,16,8.5,-3,-16.9,-27.9,-3
1904,-32,-27,-13.4,-0.1,6.6,14.8,16,14.8,6.9,-3.8,-10.5,-25.3,-4.4
1905,-21.9,-22.9,-10.7,-2.2,6.2,14.4,18.7,16.5,7.2,-2,-14.8,-25.2,-3.1
1906,-30.5,-26.7,-11.4,2.9,7.8,14.4,17.3,16.9,8.5,-1.4,-19.1,-19.9,-3.4
1907,-25.5,-26.7,-11.6,2.3,9.4,16.6,18.1,15.1,8.5,-1.5,-14.3,-24.1,-2.8
1908,-28.8,-20.6,-13.1,-0.2,8.8,16,19.6,15.2,8.5,-2.6,-16.5,-20.4,-2.8
1909,-29.8,-20.1,-15.9,-3,8.5,15.7,17.7,16.7,7.1,-1.3,-10.9,-25.3,-3.4
1910,-30.8,-18.2,-14.5,0.4,7.8,14.7,20.1,17.1,7.6,-1.8,-15.2,-26,-3.2
1911,-24.6,-22.3,-13.4,0.9,7.5,15.6,18.9,17,8.8,-0.7,-12.7,-27.5,-2.7
1912,-22.4,-19.4,-14.8,0.8,7.8,14.9,20.8,13.9,6.3,-6.7,-18.2,-26.1,-3.6
1913,-29.1,-23.6,-10.2,0.1,8.5,16.8,18.9,14.2,8.9,-0.2,-11.7,-22,-2.5
1914,-20.5,-21,-12.5,2,8.8,14.4,18.1,15.8,9.6,-0.2,-16.8,-21.7,-2
1915,-28.8,999.9,-10.4,-1.5,7.6,14.1,19.3,13.4,7.3,-5.9,-13.6,-19.4,999.9
1916,-20.2,-21.2,-13.9,-3.6,8,12.5,17.6,15.4,7.3,-0.2,-14,-28.5,-3.4
1917,-26.6,-20.8,-8.4,0.5,9.4,15.6,17.8,15.3,7.2,-2.6,-12.6,-25.2,-2.5
1918,-23.7,-17.7,-8.3,-0.6,8.5,15.2,18.1,15.4,8.4,-0.6,-16,-25.6,-2.2
1919,-32.4,-18.2,999.9,999.9,999.9,999.9,20.3,15.6,9.7,-0.7,-16,999.9,999.9
1920,-24.4,-24.1,-7.1,3,10.4,14.1,18.5,14.7,5.5,1.3,999.9,999.9,999.9
1921,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1922,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1923,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-16.6,-22.3,999.9
1924,-27.3,-21.1,-13.8,-1.7,10.2,15.7,18.3,15.9,8.2,-2.9,-14.3,-21.8,-2.9
1925,-25.6,-22.4,-13,3,9.1,16.5,19,15.9,9.8,3.2,-10.1,-23,-1.5
1926,-22.5,-21,-6.5,2.4,8.9,16.5,19.7,17.1,10.1,-0.8,-12.7,-26.2,-1.3
1927,-22.6,-18.8,-10.9,-0.2,8.2,16.2,19.8,13.4,9.7,-1,-11.8,-25.1,-1.9
1928,-25.1,-22.2,-12.9,2.3,6.8,16.4,16.9,15.6,8,-1,-16.1,-23.6,-2.9
1929,-28.2,-22,-7.9,1.1,9.5,13.7,15.9,14.9,8.7,-1.6,-9.4,-27.3,-2.7
1930,-27.6,-19.7,-11.2,-1.4,7.8,13.9,18.8,15.9,7.9,0.8,-14.5,-24.9,-2.9
1931,-27.6,-26.2,-10.8,-1.1,6.5,14.5,19.9,15.6,9.1,0.8,-13.2,999.9,999.9
1932,-20.1,-21.3,-10.2,0.8,6.8,13.7,19.7,14.2,10.3,1.6,-9.8,-21,-1.3
1933,-27.5,-23.7,-12.3,-1.1,8.6,15,17.6,15.9,7.9,-0.5,-14.3,-22.1,-3
1934,-30.4,-18.7,-12.8,-0.9,9.7,13.6,18,14.2,7.4,-0.9,-12.7,-22.5,-3
1935,-26.1,-17,-9.7,-1.7,6.1,13.9,18,16.3,8.5,-0.3,-19.2,-25.6,-3.1
1936,-33.1,-25.5,-14.5,-1.6,7.2,13.8,18.4,15.5,8.3,-0.7,-18.4,-23.4,-4.5
1937,-29,-23.7,-20.1,-1.2,8.8,16,18,15.5,7.1,0.8,-11.4,-23.9,-3.6
1938,-25.6,-19.9,-6.5,3.6,8.7,17.1,18.5,15.4,7.3,-0.1,-12.4,-23.7,-1.5
1939,-25.1,-19.5,-9.3,4.5,9.4,16.1,21.1,16.7,8.7,-2.5,-12.8,-16.2,-0.7
1940,-29.1,-21.3,-7.6,1,9.1,16.5,17.4,14.9,8.1,-3.7,-15.8,-24.3,-2.9
1941,-25.3,-24.3,-12.9,-1.3,8.3,17,19.1,15.7,8.3,-0.2,-14.2,-24.1,-2.8
1942,-25.9,-24.1,-9.3,0.1,6.1,15.3,18.2,15,8.3,-1.1,-12.8,-21.3,-2.6
1943,-27.1,-18.5,-7.8,1.7,11.8,15.6,20.2,16.3,9.1,-0.3,-12.6,-21.6,-1.1
1944,-25,-19,-9,2.2,9.2,17.2,18.8,15.5,11.1,0.4,-17.2,-22.2,-1.5
1945,-26.5,-22.3,-11.3,2.1,10,16.2,18.4,14.6,9.2,1.8,-16.6,-25.2,-2.5
1946,-28,-19,-15,1.5,8.8,17.4,21.8,17.3,5.7,1.4,-9.5,-26.9,-2
1947,-30.9,-23.6,-12.9,2.1,9.7,16.4,17.2,14.7,8.6,0.4,-17.7,-28.5,-3.7
1948,-22.9,-19.2,-6.2,4.7,7.3,16.2,19.9,16.2,7.5,-1,-12,-20.2,-0.8
1949,-21.9,-19,-10.6,2.4,10.3,13.8,21.2,15.2,9.3,2.6,-14.8,-24.1,-1.3
